#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonymns Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
63589	179439	179162	44469	44205	B0024.14	C37C3.6	crm-1	ppn-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63590	179439	183777	44469	48587	B0024.14	C54D2.2	crm-1	C54D2.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63591	179439	181022	44469	45946	B0024.14	F08C6.1	crm-1	adt-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63592	179439	178647	44469	43714	B0024.14	F16B4.5	crm-1	F16B4.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63593	179439	179944	44469	44948	B0024.14	F23B12.4	crm-1	F23B12.4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63594	179439	181340	44469	46248	B0024.14	F29G6.3	crm-1	F29G6.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63595	179439	175207	44469	40481	B0024.14	F30H5.3	crm-1	F30H5.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63596	179439	177321	44469	42444	B0024.14	F41H10.8	crm-1	elo-6	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63597	179439	181574	44469	46471	B0024.14	F42D1.2	crm-1	F42D1.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63598	179439	175753	44469	40982	B0024.14	F48E8.1	crm-1	lon-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63599	179439	186142	44469	50891	B0024.14	F53A9.1	crm-1	F53A9.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63600	179439	186143	44469	50892	B0024.14	F53A9.2	crm-1	F53A9.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63601	179439	173582	44469	38950	B0024.14	F54A3.1	crm-1	F54A3.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63602	179439	186214	44469	50961	B0024.14	F54B11.7	crm-1	F54B11.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63603	179439	176902	44469	42063	B0024.14	F56B3.2	crm-1	F56B3.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63604	179439	179367	44469	44403	B0024.14	F58E6.3	crm-1	F58E6.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63605	179439	179200	44469	44242	B0024.14	K07C11.7	crm-1	K07C11.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63606	179439	178211	44469	43303	B0024.14	K08E7.5	crm-1	K08E7.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63607	179439	178870	44469	43920	B0024.14	R02F11.1	crm-1	R02F11.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63608	179439	177524	44469	42642	B0024.14	R05G6.7	crm-1	R05G6.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63609	179439	187933	44469	52609	B0024.14	T01B7.8	crm-1	T01B7.8	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63610	179439	179535	44469	44562	B0024.14	T04C12.6	crm-1	act-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63611	179439	181284	44469	46195	B0024.14	T21B6.3	crm-1	T21B6.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63612	179439	188694	44469	53352	B0024.14	T21D12.11	crm-1	T21D12.11	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63613	179439	188757	44469	53411	B0024.14	T22F7.3	crm-1	T22F7.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63614	179439	173053	44469	38458	B0024.14	T22H2.5	crm-1	scrm-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63615	179439	189167	44469	53817	B0024.14	W03G1.5	crm-1	W03G1.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63616	179439	180264	44469	45226	B0024.14	Y39B6A.1	crm-1	Y39B6A.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63617	179439	178377	44469	43460	B0024.14	Y64G10A.7	crm-1	Y64G10A.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63618	179439	190560	44469	55144	B0024.14	Y69H2.10	crm-1	Y69H2.10	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63619	179439	180221	44469	45188	B0024.14	Y69H2.3	crm-1	Y69H2.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63620	179439	172901	44469	38318	B0024.14	ZC434.2	crm-1	rps-7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63621	179439	174464	44469	39789	B0024.14	ZK1067.7	crm-1	pqn-95	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63622	179439	173288	44469	38676	B0024.14	ZK849.1	crm-1	ZK849.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63623	174006	173668	39347	39026	B0034.3	C17F4.7	casy-1	C17F4.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63624	174006	173846	39347	39200	B0034.3	R05F9.10	casy-1	sgt-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63625	178043	172831	43142	38254	B0035.2	F26E4.8	dnj-2	tba-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63626	178043	173846	43142	39200	B0035.2	R05F9.10	dnj-2	sgt-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63627	181823	181823	46692	46692	B0041.6	B0041.6	ptps-1	ptps-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63628	172977	175796	38388	41023	B0205.3	B0336.10	rpn-10	rpl-23	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63629	172977	175801	38388	41027	B0205.3	B0336.2	rpn-10	arf-1.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63630	172977	172822	38388	38246	B0205.3	C16C2.3	rpn-10	ocrl-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63631	172977	173389	38388	38769	B0205.3	C23H3.4	rpn-10	sptl-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63632	172977	179787	38388	44806	B0205.3	F15B9.5	rpn-10	try-10	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63633	172977	177591	38388	42705	B0205.3	F20D12.1	rpn-10	csr-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63634	172977	171800	38388	37285	B0205.3	F23C8.5	rpn-10	F23C8.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63635	172977	175925	38388	41143	B0205.3	F23F12.6	rpn-10	rpt-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63636	172977	171602	38388	37106	B0205.3	F53G12.10	rpn-10	rpl-7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63637	172977	180748	38388	45683	B0205.3	F55D10.2	rpn-10	rpl-25.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63638	172977	179645	38388	44669	B0205.3	F57F5.1	rpn-10	F57F5.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63639	172977	181004	38388	45928	B0205.3	K08A8.1	rpn-10	mek-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63640	172977	187217	38388	51922	B0205.3	K09E2.3	rpn-10	K09E2.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63641	172977	176399	38388	41593	B0205.3	K11H3.1	rpn-10	gpdh-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63642	172977	176071	38388	41279	B0205.3	R13A5.8	rpn-10	rpl-9	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63643	172977	179569	38388	44595	B0205.3	T02E9.2	rpn-10	grl-7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63644	172977	181610	38388	46507	B0205.3	T10B10.1	rpn-10	col-41	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63645	172977	178221	38388	43313	B0205.3	T23B5.1	rpn-10	T23B5.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63646	172977	188854	38388	53508	B0205.3	T24D8.1	rpn-10	lgc-40	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63647	172977	173232	38388	38626	B0205.3	W09C5.1	rpn-10	W09C5.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63648	172268	180896	37722	45828	B0207.4	C14F11.6	air-2	C14F11.6	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63649	172268	180718	37722	45653	B0207.4	F02E8.1	air-2	asb-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63650	172268	173818	37722	39172	B0207.4	F41C3.5	air-2	F41C3.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63651	172268	171788	37722	37274	B0207.4	Y39G10AR.13	air-2	icp-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63652	191743	175792	56238	41019	B0218.3	B0336.7	pmk-1	B0336.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63653	191743	177342	56238	42464	B0218.3	B0547.1	pmk-1	csn-5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63654	191743	179743	56238	44763	B0218.3	C15C8.2	pmk-1	cky-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63655	191743	175638	56238	40872	B0218.3	C38D4.6	pmk-1	pal-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63656	191743	176914	56238	42074	B0218.3	C44C8.6	pmk-1	mak-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63657	191743	172581	56238	38016	B0218.3	C54G4.1	pmk-1	rskn-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63658	191743	174165	56238	39501	B0218.3	F10E7.8	pmk-1	farl-11	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63659	191743	181340	56238	46248	B0218.3	F29G6.3	pmk-1	F29G6.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63660	191743	177839	56238	42943	B0218.3	F32B6.1	pmk-1	nhr-4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63661	191743	179240	56238	44279	B0218.3	F41E6.6	pmk-1	tag-196	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63662	191743	174768	56238	40074	B0218.3	F54D5.7	pmk-1	F54D5.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63663	191743	175443	56238	40685	B0218.3	F59A2.1	pmk-1	npp-9	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63664	191743	176000	56238	41212	B0218.3	K04G7.3	pmk-1	ogt-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63665	191743	177921	56238	43023	B0218.3	K11E8.1	pmk-1	unc-43	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63666	191743	259963	56238	56985	B0218.3	R02F2.9	pmk-1	R02F2.9	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63667	191743	179535	56238	44562	B0218.3	T04C12.6	pmk-1	act-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63668	191743	172302	56238	37755	B0218.3	T09B4.9	pmk-1	T09B4.9	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63669	191743	178139	56238	43233	B0218.3	T12G3.1	pmk-1	T12G3.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63670	191743	178732	56238	43789	B0218.3	W02G9.3	pmk-1	W02G9.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63671	191743	174924	56238	40222	B0218.3	Y46G5A.31	pmk-1	gsy-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63672	191743	180181	56238	45153	B0218.3	Y59A8B.9	pmk-1	ebp-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63673	191743	190707	56238	55283	B0218.3	Y75B8A.20	pmk-1	grl-15	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63674	178914	172074	43963	37538	B0238.12	B0041.4	B0238.12	rpl-4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63675	178914	173846	43963	39200	B0238.12	R05F9.10	B0238.12	sgt-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63676	178914	180264	43963	45226	B0238.12	Y39B6A.1	B0238.12	Y39B6A.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63677	178912	174323	43961	39652	B0238.1	M110.5	carboxylesterase	dab-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63678	181891	182643	46757	47491	B0272.2	C15H9.4	gosr-2.1	C15H9.4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63679	181891	179522	46757	44550	B0272.2	F17C11.9	gosr-2.1	F17C11.9	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63680	181891	176743	46757	41914	B0272.2	F56A8.7	gosr-2.1	unc-64	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63681	175993	175993	41205	41205	B0280.8	B0280.8	nhr-10	nhr-10	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63682	175993	177706	41205	42814	B0280.8	C27B7.4	nhr-10	rad-26	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63683	175993	177374	41205	42496	B0280.8	M03D4.1	nhr-10	zen-4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63684	175993	174826	41205	40130	B0280.8	ZK930.3	nhr-10	ZK930.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63685	173772	173772	39128	39128	B0286.3	B0286.3	B0286.3	B0286.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63686	173773	173773	39129	39129	B0286.4	B0286.4	ntl-2	ntl-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63687	173773	185757	39129	50516	B0286.4	F44G3.9	ntl-2	nhr-111	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63688	176221	178028	41424	43127	B0303.9	R07H5.8	SLP-1	R07H5.8	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63689	175801	178732	41027	43789	B0336.2	W02G9.3	arf-1.2	W02G9.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63690	176031	174456	41242	39781	B0361.10	T23G7.3	synaptobrevin	T23G7.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63691	175628	176011	40862	41223	B0393.1	F37C12.11	rps-0	rps-21	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63692	172247	180059	37702	45052	B0414.8	F57A10.5	B0414.8	nhr-60	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63693	181158	173374	46074	38755	B0416.5	F31C3.1	B0416.5	cyn-5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63694	176328	178042	41525	43141	B0464.5	B0035.1	spk-1	B0035.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63695	176328	175801	41525	41027	B0464.5	B0336.2	spk-1	arf-1.2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63696	176328	172253	41525	37708	B0464.5	C32F10.1	spk-1	obr-4	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63697	176328	179971	41525	44973	B0464.5	C47E8.5	spk-1	daf-21	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63698	176328	175098	41525	40379	B0464.5	F26H11.2	spk-1	nurf-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63699	176328	172219	41525	37677	B0464.5	F46F11.2	spk-1	cey-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63700	176328	178064	41525	43161	B0464.5	H02I12.5	spk-1	H02I12.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63701	176328	179275	41525	44313	B0464.5	T19A5.1	spk-1	T19A5.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63702	176328	190025	41525	54631	B0464.5	Y48E1B.1	spk-1	ddl-2	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63703	176331	176054	41528	41263	B0464.8	T20B12.2	tag-342	tbp-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63704	182010	177342	46873	42464	B0496.7	B0547.1	valv-1	csn-5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63705	182010	172597	46873	38031	B0496.7	C09H6.2	valv-1	lin-10	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63706	182010	177440	46873	42560	B0496.7	C17H12.1	valv-1	dyci-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63707	182010	174662	46873	39975	B0496.7	R06F6.4	valv-1	set-14	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63708	179256	174236	44295	39570	B0507.1	F18A1.6	B0507.1	F18A1.6	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63709	179256	172195	44295	37653	B0507.1	F27C1.7	B0507.1	atp-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63710	179256	174371	44295	39699	B0507.1	F54C9.5	B0507.1	rpl-5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63711	179256	172335	44295	37788	B0507.1	K04F10.7	B0507.1	K04F10.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63712	179256	173846	44295	39200	B0507.1	R05F9.10	B0507.1	sgt-1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63713	179256	178615	44295	43684	B0507.1	T21H3.1	B0507.1	T21H3.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63714	179256	178362	44295	43446	B0507.1	Y37A1B.1	B0507.1	lst-3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63715	179256	180264	44295	45226	B0507.1	Y39B6A.1	B0507.1	Y39B6A.1	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63716	179256	189773	44295	54402	B0507.1	Y39G10AR.17	B0507.1	Y39G10AR.17	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63717	178353	172308	43437	37761	B0513.2	T05E7.5	B0513.2	T05E7.5	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63718	177427	188577	42547	53239	C01B10.3	T18D3.7	C01B10.3	T18D3.7	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63719	177429	187543	42549	52233	C01B10.4	R03G5.6	C01B10.4	R03G5.6	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
63720	177429	187804	42549	52486	C01B10.4	R11D1.3	C01B10.4	R11D1.3	-	-	Two-hybrid	physical	Li S (2004)	14704431	6239	6239	High Throughput	-	-	-	-	-	BioGRID
